,제목,저자,가격
0,포르잔 C++ 에센셜,"Behrouz A. Forouzan , Richard F. Gilberg ",32000
1,"IT CookBook, 액세스 2019로 배우는 데이터베이스 기초와 실습",김지연 ,28000
2,포르잔 C++ 바이블,"Behrouz A. Forouzan , Richard F. Gilberg ",45000
3,딥러닝을 위한 선형대수학,Gilbert Strang ,38000
4,"IT CookBook, 오라클로 배우는 데이터베이스 개론과 실습(2판)","박우창 , 남송휘 , 이현룡 ",29000
5,대학을 버려야 대학이 산다,조동성 외 인천대학교 가족 178명 ,18000
6,"IT CookBook, 따라 하면서 배우는 사물인터넷",양재삼 ,28000
7,R로 하는 다변량 데이터 분석 : 이론부터 실무 활용까지,"카와하시 잇코 , 이와마 노리카즈 , 스즈키 마사유키 ",32000
8,창의적 공학설계(3판),김은경 ,23000
9,공학 핵심수학(2판)  : 기초부터 심화까지 핵심만 쏙쏙,함남우 ,23000
10,응용이 보이는 선형대수학 : 파이썬과 함께하는 선형대수학 이론과 응용,이건명 ,31000
11,"IT CookBook, 초연결 사회의 데이터통신과 네트워킹",강문식 ,29000
12,"IT CookBook, 쉽게 배우는 MFC 윈도우 프로그래밍","김선우 , 신화선 ",30000
13,"IT CookBook, 인공지능 시대를 위한 컴퓨터 과학 개론",정기철 ,27000
14,"IT CookBook, 코틀린을 활용한 안드로이드 프로그래밍","우재남 , 유혜림 ",34000
15,"IT CookBook, 처음 만나는 신재생에너지",김지홍 ,25000
16,프리드버그 선형대수학,"스티븐 H. 프리드버그 , 아놀드 J. 인셀 , 로렌스 E. 스펜스 ",35000
17,"IT CookBook, CentOS 리눅스",이종원 ,32000
18,"Microeconomics, 6th Edition, Asia Edition","David Besanko , Ronald Braeutigam ",49000
19,누구나 파이썬 통계분석,타니아이 히로키 ,26000
20,제대로 배우는 MATLAB&Simulink,방성완 ,29000
21,공학도를 위한 경영 : 4차 산업혁명 시대,하귀룡 ,25000
22,"SWedu 011, 앱 인벤터(2판) : 쉽고 재미있게 만드는 앱 프로그래밍",이종원 ,24000
23,"IT CookBook, 컴파일러의 이해 : 내공 있는 프로그래머로 길러주는 (증보판)",박두순 ,27000
24,(2020) 완벽분석! 사회조사분석사 2급 실기,"노경섭 , 김성일 , 김기만 ",28000
25,"IT CookBook, 운영체제론 : Operating Systems, 3rd Ed","하비 디텔 , 폴 디텔 , 데이빗 쇼픈스 ",32000
26,기초수학 : Basic Mathematics(2판),이재원 ,20000
27,"IT CookBook, Android Studio를 활용한 안드로이드 프로그래밍(5판)","우재남 , 박길식 ",29000
28,"IT CookBook, 4차 산업혁명 시대의 정보통신개론",고응남 ,25000
29,"IT CookBook, C 언어 일취월장",신윤환 ,28000
30,"IT CookBook, UI 디자인과 프로토타이핑을 위한 Adobe XD",이영주 ,27000
31,"IT CookBook, UI/UX 디자인 이론과 실습 with Adobe XD",이영주 ,28000
32,"IT CookBook, 객체 지향 설계와 분석을 위한 UML 기초와 응용","한정수 , 김귀정 ",24000
33,"IT CookBook, 리눅스 실습 for Beginner",우재남 ,24000
34,"IT CookBook, 비주얼 베이직 2019 입문",임관철 ,25000
35,"IT CookBook, 스크래치로 배우는 컴퓨팅 사고","조성호 , 고광일 ",21000
36,"IT CookBook, 엑셀로 배우는 데이터 분석",박주미 ,21000
37,"IT CookBook, 초연결 사회를 위한 컴퓨터 개론",조성호 ,26000
38,"IT CookBook, 파이썬 for Beginner(2판)",우재남 ,23000
39,NO BULLSHIT 선형대수학 가이드,Ivan Savov ,28000
40,NO BULLSHIT 수학&물리 가이드,Ivan Savov ,28000
41,정보교과교육론(2판),"이태욱 , 최현종 , 전용주 ",27000
42,실무로 완성하는 PLC(멜섹Q) : 서보를 이용한 위치 제어,정완보 ,28000
43,"College Physics, 5th Edition",Alan Giambattista ,45000
44,Stata로 끝내는 논문,정규형 ,25000
45,"Business Statistics: For Contemporary Decision Making, 10th Edition, Asia Edition",Ken Black ,49000
46,(2020) 완벽분석! 사회조사분석사 2급 필기,"노경섭 , 김성일 , 김기만 ",30000
47,"IT CookBook, 유닉스 이론과 실습(3판)","이종원 , 윤소정 ",25000
48,"IT CookBook, 경영경제통계학",유영태 ,28000
49,"Swedu, 정보적 사고에서 인공 지능까지",김현철 ,19000
50,"IT CookBook, 문제 해결력을 키우는 디자인 씽킹","송태란 , 이정현 ",22000
51,"IT CookBook, 모두를 위한 R 데이터 분석 입문",오세종 ,26000
52,"IT CookBook, 최신 컴퓨터 구조","임석구 , 홍경호 ",28000
53,"IT CookBook , MySQL로 배우는 데이터베이스 개론과 실습","박우창 , 남송휘 , 이현룡 ",27000
54,"IT CookBook, HTML5 웹 프로그래밍 입문(3판)",윤인성 ,26000
55,"IT CookBook, 컴퓨터 활용과 실습 2016",김주영 ,24000
56,"IT Cookbook, 처음 만나는 전자회로",황형수 ,24000
57,스트랭 미분방정식과 선형대수학,Gilbert Strang ,30000
58,"IT CookBook, 네트워크 개론(3판)",진혜진 ,25000
59,"IT CookBook, 텐서플로로 배우는 딥러닝","박혜정 , 석경하 , 심주용 , 황창하 ",27000
60,"IT CookBook, 파워포인트 2016",김지연 ,19000
61,"SWedu, 스크래치 3.0 : 컴퓨팅 사고력을 키우는 블록 코딩",고광일 ,22000
62,"IT CookBook, design school 포토샵 & 일러스트레이터 CC 2019",이영주 ,23000
63,"IT CookBook, PHP 프로그래밍 입문(3판)",황재호 ,25000
64,칼만 필터는 어렵지 않아 with MATLAB Examples,김성필 ,26000
65,"IT CookBook, R로 배우는 데이터 과학","양윤석 , 오일석 , 강래형 ",27000
66,"IT CookBook, design school 포토샵 CC 2019",이영주 ,22000
67,제대로 알고 쓰는 논문 통계분석 : SPSS & AMOS (개정증보판),노경섭 ,28000
68,이산수학 : tool 중심으로 이해하는 새로운 시각,박두순 ,24000
69,"IT CookBook, 따라 하면서 배우는 마이크로컨트롤러",허경용 ,28000
70,"IT CookBook, 데이터베이스 개론(2판)",김연희 ,27000
71,스트랭 미분적분학,Gilbert Strang ,34000
72,"IT CookBook, 데이터 과학을 위한 파이썬 프로그래밍",최성철 ,25000
73,"IT CookBook, 데이터베이스 for Beginner",우재남 ,24000
74,한번에 통과하는 논문 : AMOS 구조방정식 활용과 SPSS 고급 분석,히든그레이스 논문통계팀 ,28000
75,공학도라면 반드시 알아야 할 최소한의 과학,John Bird ,24000
76,"IT CookBook, 전공자를 위한 C 언어 프로그래밍",주우석 ,29000
77,"IT CookBook, design school 프리미어 프로 CC",강재신 ,25000
78,"IT CookBook, design school 일러스트레이터 CC",이영주 ,23000
79,"IT CookBook, 모바일 & 데스크톱을 위한 웹 기획 프로세스",강은정 ,24000
80,"IT CookBook, 시스템 해킹과 보안(3판)",양대일 ,27000
81,"IT CookBook, 자바 프로그래밍 for Beginner",우재남 ,26000
82,"IT CookBook, 쉽게 배우는 JSP 웹 프로그래밍",송미영 ,27000
83,NCS를 기반으로 한 직무 기초수학,"이광연 , 조성훈 , 최상일 ",22000
84,수치해석학 바이블,"Ward Cheney , David Kincaid ",32000
85,MATLAB으로 배우는 공학 수치해석(개정판),방성완 ,24000
86,"IT CookBook, 모바일 UI/UX 디자인 실무",이영주 ,28000
87,"IT CookBook, C 언어 for Beginner(개정3판)",우재남 ,23000
88,"IT CookBook, R로 배우는 딥러닝","박혜정 , 석경하 , 심주용 , 황창하 ",23000
89,"IT CookBook, 쉽게 배우는 운영체제",조성호 ,28000
90,"SWedu, 엔트리파이선","정영식 , 홍은미 , 김슬기 , 김성훈 ",22000
91,"IT CookBook, 엑셀 2016",김지연 ,19000
92,만만한 통계 : Excel 활용,닐 샐카인드(Neil J. Salkind) ,26000
93,문과생도 이해하는 확률과 통계,야마모토 토시로 ,20000
94,수식이 보이는 공학수학 : Engineering Mathematics (개정판),장윤석 ,24000
95,"IT CookBook, 핵심이 보이는 전자회로 with PSPICE(개정판)",신경욱 ,32000
96,MOS 2016 액세스,"김경희 , 오해강 ",14000
97,MATLAB으로 배우는 공학수학 : Engineering Mathematics (개정판),소상균 ,28000
98,한번에 통과하는 논문 : SPSS 결과표 작성과 해석 방법,히든그레이스 논문통계팀 ,23000
99,"IT CookBook, C++ 트레이닝",김상형 ,26000
100,4차 산업혁명 시대의 기업 혁신을 위한 비즈니스 프로세스,"정승렬 , 이정규 ",29000
101,"IT CookBook, 핵심이 보이는 제어공학(개정판)",김성중 ,26000
102,"IT CookBook, 우분투 리눅스(개정판)",이종원 ,31000
103,쉽고 빠르게 합격하는 COS 2급,이연란 ,16200
104,생각하며 배우는 대학물리학,이기영 ,30000
105,"IT CookBook, 소프트웨어 세상을 여는 컴퓨터 과학",김종훈 ,22000
106,"IT CookBook, 쉽게 배우는 알고리즘(개정판)",문병로 ,27000
107,MOS 2016 아웃룩,"김경희 , 오해강 ",14000
108,"IT CookBook, 확률과 랜덤 과정",정호영 ,23000
109,"IT CookBook, 기초부터 시작하는 PLC: 지멘스 S7-1500",정완보 ,23000
110,"IT CookBook, 정보 보안 개론 개정3판",양대일 ,28000
111,미분적분학 에센스,제임스 스튜어트 ,28000
112,미분적분학 바이블,제임스 스튜어트 ,34000
113,"IT CookBook, 기초 회로이론(개정 2판)",최윤식 ,24000
114,"IT CookBook , 엑셀과 파워포인트 2016",김지연 ,22000
115,"IT CookBook, 기본 개념과 핵심 원리로 배우는 C++ 프로그래밍",김화수 ,28000
116,"SWedu, 파이선으로 쉽게 배우는 프로그래밍 입문",조인석 ,21000
117,"IT CookBook, 단계별로 배우는 안드로이드 프로그래밍",김선우 ,35000
118,기계 학습,오일석 ,32000
119,"IT CookBook, C 언어 트레이닝",김상형 ,25000
120,code.org를 활용한 컴퓨팅 사고력과 코딩 교육,"제인 크라우스 , 키키 프롯츠만 ",19000
121,"IT CookBook, 디지털 영상처리","심동규 , 임웅 ",28000
122,"IT CookBook, 전기전자공학 개론(개정 6판)","Stan Gibilisco , Simon Monk ",32000
123,"IT CookBook, 핵심이 보이는 전자회로 실험 with PSPICE",신경욱 ,25000
124,"IT CookBook, 페도라 리눅스(개정판)",이종원 ,29000
125,한번에 통과하는 논문 : 논문 검색과 쓰기 전략,히든그레이스 논문통계팀 ,18900
126,"SWedu, 비트브릭","김경하 , 박승미 , 최선경 , 이민아 , 김진선 , 강병수 , 이신영 ",19000
127,MOS 2016 워드 Expert,"김경희 , 오해강 ",14000
128,공학도라면 반드시 알아야 할 최소한의 수학,John Bird ,22000
129,MOS 2016 엑셀 Expert,"김경희 , 오해강 ",14000
130,MOS 2016 파워포인트,"김경희 , 오해강 ",14000
131,4차 산업혁명 시대의 경영정보시스템,이동훈 ,28000
132,"IT CookBook, 쉽게 배우는 자바 프로그래밍",우종정 ,27000
133,"IT CookBook, 차세대 웹 프로그래밍",홍성용 ,26000
134,개념이 잡히는 디지털 전자회로,강영국 ,29000
135,"IT CookBook, 유닉스 시스템 프로그래밍",이종원 ,25000
136,문과생도 이해하는 전기전자수학,야마시타 아키라 ,20000
137,확률과 통계 입문 : Basic Probability & Statistics,이재원 ,20000
138,기초 미분적분학(개정판) : Pre Calculus,함남우 ,22000
139,"IT CookBook, 인터넷 해킹과 보안 개정3판",김경곤 ,25000
140,"IT CookBook, MFC 윈도우 프로그래밍",강경우 ,27000
141,"IT CookBook, 웹 디자인 이론과 실습",강은정 ,25000
142,"IT CookBook, 기초부터 시작하는 PLC : 멜섹Q",정완보 ,23000
143,"IT CookBook, C로 시작하는 컴퓨터 프로그래밍 개정3판","문호석 , 손명호 ",20000
144,객체지향 소프트웨어 공학,최은만 ,29000
145,기초 공업수학,마인숙 ,20000
146,"IT CookBook, 반도체 공학(개정판)",김동명 ,35000
147,"IT CookBook, 기초 통신이론",김영길 ,22000
148,데이터 아이코놀로지,박진완 ,26000
149,"IT CookBook, 임베디드 리눅스 기초와 응용","우종정 , 사공준 ",22000
150,"IT CookBook, 컴퓨팅 사고력을 키우는 이산수학(개정판)",박주미 ,25000
151,easy LED : 초보자를 위한 LED 가이드북,홍순관 ,18000
152,"IT CookBook, 디지털 시스템 설계 및 실습 with VHDL & Verilog HDL",노승환 ,25000
153,"IT CookBook, 기초 전기전자 에센스","모현선 , 장성용 , 홍익표 ",25000
154,"IT CookBook, 비주얼 베이직 2015 for Beginner",임관철 ,24000
155,"IT CookBook, 네트워크 해킹과 보안 개정3판 : 정보 보안 개론과 실습",양대일 ,26000
156,"IT CookBook, 쉽게 배우는 데이터 통신과 컴퓨터 네트워크 (개정판)",박기현 ,27000
157,"IT CookBook, 자바스크립트 프로그래밍 입문",윤인성 ,25000
158,"IT CookBook, 처음 만나는 자동제어공학",김성중 ,18000
159,"IT CookBook, HTML & CSS for Beginner",황재호 ,23000
160,"IT CookBook, 처음 만나는 전기기기","최은혁 , 박숭규 ",20000
161,"SWedu, 컴퓨팅 사고력을 키우는 SW 교육 : 엔트리 & 햄스터","황준 , 박광현 , 이웅재 , 최은정 , 고혜영 , 이재호 , 손예진 , 조민주 ",20000
162,ITQ 엑셀 2010,"장수진, 유우종, 임관철 , 김경희 ",15000
163,ITQ 파워포인트 2010,"장수진, 유우종, 임관철 , 김경희 ",15000
164,ITQ 한글 2010,"장수진, 유우종, 임관철 , 김경희 ",15000
165,"IT CookBook, 인터넷 윤리","최희식 , 김상균 ",22000
166,한 권으로 합격하는 MOS 2010 엑셀과 파워포인트,"김경희 , 오해강 ",15000
167,파이썬으로 배우는 프로그래밍 기초,크리스 로피 ,13000
168,"IT CookBook, 자바 프로그래밍 바이블","오경주 , 염기호 , 정용훈 ",29000
169,제대로 알고 쓰는 R 통계분석,이윤환 ,25000
170,"IT CookBook, C로 배우는 쉬운 자료구조(개정3판)",이지영 ,27000
171,"IT CookBook, 처음 만나는 디지털 논리회로","임석구 , 홍경호 ",22000
172,"SWedu, 컴퓨팅 사고력을 키우는 SW 교육 : 파이썬",우재남 ,22000
173,"IT CookBook, 기초 신호 및 시스템",이철희 ,26000
174,생생한 사례로 배우는 확률과 통계,이재원 ,25000
175,공학과 경영,김상균 ,26000
176,"IT CookBook, 운영체제(개정3판)",구현회 ,27000
177,"IT CookBook, 처음 만나는 전자기학",곽동주 ,23000
178,"IT CookBook, 디지털 콘텐츠 기획",김성은 ,26000
179,IT 해외 취업 가이드 : 미국편,송기봉 ,18000
180,"IT CookBook, 기초전자실험(개정판) : with PSpice",홍순관 ,17000
181,"IT CookBook, 따라 하면서 배우는 아두이노",허경용 ,26000
182,제대로 시작하는 기초 통계학 : Excel 활용,노경섭 ,24000
183,"IT CookBook, 윈도우 서버 2012 R2 : 설치, 운영, 관리+실무 팁","남훈식 , 최영락 ",28000
184,스크래치를 활용한 문제해결능력 향상,김종훈 ,9000
185,대학생을 위한 스크래치 프로그래밍 : 누구나 할 수 있는 가장 쉬운 프로그래밍 입문서,김종훈 ,18000
186,미적분학,"Carol Ash , Robert B. Ash ",35000
187,"IT CookBook, 처음 만나는 전력공학","박숭규 , 최은혁 , 최병숙 ",23000
188,"IT CookBook, 처음 만나는 회로이론",방성완 ,20000
189,최신 공학수학 with Sage Ⅰ,"이상구 , 김영록 , 박준현 , 김응기 , 이재화 ",25000
190,최신 공학수학 with Sage Ⅱ,"이상구 , 김영록 , 박준현 , 김응기 , 이재화 ",23000
191,창의적 공학설계(개정판),김은경 ,22000
192,"IT CookBook, 최신 이동통신 입문 : Mobile Communications",Jochen H. Schiller ,28000
193,"IT CookBook, 쉬운 영어로 읽는 최신 전산 영어(개정3판)",조준모 ,17000
194,"IT CookBook, 데이터베이스 기초와 실습 : 액세스 2013",김지연 ,25000
195,"IT CookBook, 전자상거래와 e-비즈니스(개정3판)",이동훈 ,25000
196,"IT CookBook, 컴퓨터 사이언스(개정판) : 새내기를 위한 최신 컴퓨터 개론","이동명 , 권오현 , 고정국 ",24000
197,"IT CookBook, 핵심이 보이는 반도체 공학",권기영 ,28000
198,"IT CookBook, 원리로 이해하는 전력전자공학 : 기초부터 응용까지","원충연 , 김영렬 , 이택기 , 정용채 , 이병국 ",26000
199,"IT CookBook, C# 프로그래밍 : 프로그래밍 기초부터 객체 지향 핵심까지",윤인성 ,25000
200,"IT CookBook, 쉽게 배우는 소프트웨어 공학",김치수 ,25000
201,"IT CookBook, 시스템 분석과 설계(개정판) : 효과적인 비즈니스 정보시스템 개발",허원실 ,25000
202,"IT CookBook, JUST JAVA : 객체지향에 충실한 자바다운 자바",황희정 ,25000
203,"IT CookBook, UI/UX 디자인 이론과 실습",이영주 ,27000
204,"IT CookBook, 정보보안 이론과 실제",마크 스탬프 ,25000
205,"IT CookBook, 리눅스 프로그래밍 기초 : 시스템 호출, 라이브러리 함수별 실습","최태영 , 황준하 , 고재필 , 윤현주 , 김용호 ",20000
206,앱 인벤터 2 : 구글과 MIT 앱 인벤터 개발팀이 안내하는 안드로이드 프로그래밍,"David Wolber , Hal Abelson , Ellen Spertus , Liz Looney ",24000
207,easy LTE : 초보 기술자를 위한 이동통신 가이드북,이상근 ,23000
208,"IT CookBook, 원리로 이해하는 마이크로파 공학",홍익표 ,26000
209,"창의와 혁신의 시크릿, 트리즈 : Training How To Think Inventively",김은경 ,23000
210,"IT CookBook, 디지털 논리회로(개정3판) : 이론, 실습, 시뮬레이션","임석구 , 홍경호 ",27000
211,"IT CookBook, 핵심 API로 배우는 윈도우 프로그래밍",강경우 ,26000
212,MATLAB으로 배우는 선형대수학 : Linear Algebra with MATLAB,"이광연 , 설한국 ",27000
213,창의융합 프로젝트 아이디어북 : Creative Convergence Capstone Design with PBL,조준동 ,24000
214,"IT CookBook, XML 프로그래밍 : 체계적으로 배우는 XML 원리와 응용",홍성용 ,27000
215,전공이 보이는 미분적분학: FOR ELECTRICAL & ELECTRONIC ENGINEERS,장윤석 ,22000
216,"IT CookBook, Play 포토샵",원다예 ,22000
217,"IT CookBook, 엑셀과 파워포인트 2013 개정판",강동진 외 4 ,22000
218,"IT CookBook, 비주얼 베이직 2010 for Beginner",임관철 ,24000
219,"IT CookBook, C C++로 배우는 자료구조론",주우석 ,23000
220,"IT CookBook, 광통신 공학 : MATLAB과 함께하는 광통신 시스템",이종형 ,28000
221,"IT CookBook, 디지털 영상처리 입문 : 오감을 자극하는 3차원 입체 학습","신종홍 , 장선봉 , 지인호 ",25000
222,"IT CookBook, 엑셀 2013 : 기본 기능부터 실무 활용까지",하숙정 ,20000
223,정보보안 기사 & 산업기사 (필기),"윤대원 , 박인근 ",29000
224,"IT CookBook, 컴퓨터 활용과 실습 : 컴퓨터 기초, 한글 2014, 엑셀 2013, 파워포인트 2013",김주영 ,22000
225,"IT CookBook, 핵심이 보이는 신호 및 시스템 : 기본 이론부터 MATLAB 실습까지",이철희 ,28000
226,"IT CookBook, 실전에 강한 PLC : 기본 이론부터 실습까지",정완보 ,20000
227,"IT CookBook, 원리로 이해하는 통신이론 : Analog & Digital Communications",한동석 ,24000
228,공학 핵심수학 : Core Mathematics for Engineering,함남우 ,20000
229,"IT CookBook, 파워포인트 2013 : 기본 기능부터 프레젠테이션 스킬까지 한번에!","채종서 , 차유빈 ",20000
230,"IT CookBook, Compact C 프로그래밍",김충석 ,24000
231,"IT CookBook, 스마트 시대의 멀티미디어 : 멀티미디어 기본 이론부터 최신 기술 동향까지","김용태 , 박길철 ",28000
232,"IT CookBook, 한글 2014 for Beginner",양숙희 ,10000
233,"IT CookBook, 엑셀 2013 for Beginner",양숙희 ,10000
234,"IT CookBook, New 데이터통신과 네트워킹 : 차세대 통신을 위한 밑그림",강문식 ,26000
235,"IT CookBook, 워드 2013 for Beginner",최희식 ,10000
236,"IT CookBook, 파워포인트 2013 for Beginner",최희식 ,10000
237,이자론 중심으로 배우는 금융수학 : 보험계리사 시험 대비,이재원 ,26000
238,"IT CookBook, 쉽게 배우는 유전 알고리즘 : 진화적 접근법",문병로 ,23000
239,"IT CookBook, 컴퓨터 아키텍처 : 컴퓨터 구조 및 동작 원리",우종정 ,26000
240,"IT CookBook, 초보자의 첫 번째 한글 2010",양숙희 ,10000
241,"IT CookBook, C 언어로 배우는 8051 마이크로프로세서",임석구 ,25000
242,"IT CookBook, 회로이론 : Circuits","Fawwaz T. Ulaby , Michel M. Maharbiz ",34000
243,"IT CookBook, 실무로 완성하는 최신 안테나 공학 : 이론에서 실무까지","Yi Huang , Kevin Boyle ",25000
244,"Introduction To Algorithms, Third Edition","토머스 코멘 , 찰스 레이서손 , 로날드 리베스트 , 클리포드 스타인 ",47000
245,이공계생을 위한 확률과 통계 : Forward-Looking Probability and Statistics,안승철 ,23000
246,공학 기초수학 : Basic Mathematics for Engineering,함남우 ,18000
247,"IT CookBook, 컴퓨터 비전",오일석 ,35000
248,실전으로 배우는 발명·특허,윤상원 ,22000
249,설계 프로세스로 배우는 창의적 공학설계,노승환 ,20000
250,"IT CookBook, 빅데이터 컴퓨팅 기술","박두순 , 문양세 , 박영호 , 윤찬현 , 정영식 , 장형석 ",22000
251,"IT CookBook, 단계별로 배우는 전자회로 실험 : 기본 소자부터 응용 회로까지",이강윤 ,22000
252,"IT CookBook, CMOS 디지털 집적회로 설계 : 기본 이론부터 실습까지",신경욱 ,26000
253,"IT CookBook, 익스플로링 아두이노",JEREMY BLUM ,27000
254,"IT CookBook, RF 및 초고주파 공학",카이 창(Kai Chang) ,24000
255,"IT CookBook, 인터넷 이해와 활용 : 인터넷 기초부터 홈페이지 제작까지(개정2판)","안치현 , 김형철 ",22000
256,"IT CookBook, 엑셀 2010 실무와 활용",전미진 ,19000
257,"IT CookBook, 엑셀과 파워포인트 2010 실무와 활용","전미진 , 고경희 ",21000
258,"IT CookBook, 파워포인트 2010 실무와 활용",고경희 ,19000
259,"IT CookBook, ASP.NET 4.0 프로그래밍",김동아 ,28000
260,"IT CookBook, 초보자의 첫 번째 워드 2010",최희식 ,10000
261,"IT CookBook, 파워포인트 2007 실무와 활용",고경희 ,18000
262,"IT CookBook, New 인터넷 이해와 활용",김경신 ,25000
263,"IT CookBook, 프로젝트로 배우는 자바 웹 프로그래밍",황희정 ,26000
264,"IT CookBook, 디지털 논리회로 실험 : 120개의 기본 실험과 12개의 텀 프로젝트","임석구 , 홍경호 ",23000
265,"IT CookBook, 윈도우 프로그래밍 : Visual C++ 2010 MFC Programming","김선우 , 신화선 ",28000
266,"IT CookBook, 실감나게 배우는 제어공학","한수희 , 이영삼 , 권보규 , 권오규 , 권욱현 ",28000
267,"IT CookBook, 디지털 실험 : with PSpice",홍순관 ,16000
268,"IT CookBook, 디지털 공학 : 논리회로의 설계 원리","김대정 , 모현선 ",28000
269,기초 선형대수학 : BASIC LINEAR ALGEBRA,"이광연 , 설한국 , 김진수 ",25000
270,대학수학 Plus : University Mathematics,이재원 ,26000
271,"IT CookBook, 웹 기획 기초와 설계(개정판) : 웹 사이트, 인터페이스, 디자인",강은정 ,23000
272,"IT CookBook, 단계별로 따라하며 배우는 디지털 공학 실험","이승호 , 민경옥 ",22000
273,"IT CookBook, 데이터베이스 기초와 실습 : 액세스 2010",김지연 ,24000
274,"IT CookBook, 컴퓨터 구조와 원리 2.0 : 비주얼 컴퓨터 아키텍처",신종홍 ,25000
275,기초 확률과 통계 : BASIC PROBABILITY & STATISTICS,박대수 ,18000
276,"IT CookBook, 전자기학 : ELECTROMAGNETICS","Arlon T. Adams , Jay Kyoon Lee(이재균) ",30000
277,"IT CookBook, OpenGL로 배우는 3차원 컴퓨터 그래픽스",주우석 ,38000
278,"IT CookBook, 인공지능 개론",마이클 네그네빗스키 ,25000
279,"IT CookBook, 현대 반도체 소자 공학 : Modern Semiconductor Devices for Integrated Circuits",첸밍 후(Chenming Calvin Hu) ,25000
280,"IT CookBook, 디지털 신호 처리 : 기본 이론부터 MATLAB 실습까지",이철희 ,28000
281,"IT CookBook, enjoy design 포토샵 CS6",이영주 ,25000
282,"IT CookBook, TCP/IP 윈도우 소켓 프로그래밍",김선우 ,25000
283,"IT CookBook, 초보자의 첫 번째 파워포인트 2010",최희식 ,10000
284,"IT CookBook, 전자회로 : 핵심 개념부터 응용까지","강문식 , 신경욱 ",32000
285,"IT CookBook, 데이터베이스 관리와 실습(개정판) : MS SQL Server 2008",손광수 ,25000
286,"IT CookBook, 마이크로컨트롤러 AVR ATmega128 : 상태도를 이용한 시스템 설계",이상설 ,29000
287,"IT CookBook, 자바로 배우는 쉬운 자료구조",이지영 ,24800
288,"IT CookBook, 프로그래밍 언어론 : 쉽게 배우는 언어의 원리와 구조","김종훈 , 김종진 ",20000
289,"IT CookBook, SQL Server로 배우는 데이터베이스 개론과 실습","박우창 , 남송휘 ",27000
290,"IT CookBook, C++ 하이킹 : 객체지향과 만나는 여행","성윤정 , 김태은 ",25000
291,"IT CookBook, 반도체 공학 연습문제 풀이집",김동명 ,22000
292,"IT CookBook, C 프로그래밍","강동진, 하숙정, 임수연, 송무희, 박보석 ",24000
293,"IT CookBook, 컴퓨터 활용 : 윈도우 7, 한글 2010, 엑셀 2010, 파워포인트 2010","김주영 , 정영준 ",21000
294,"IT CookBook, 초보자의 첫 번째 엑셀 2010",양숙희 ,10000
295,"IT CookBook, 개념이 보이는 물리전자공학",이현용 ,24000
296,문제해결력을 키우는 이공계 글쓰기 : 발표와 토론까지,한성우 ,18000
297,"진로개발과 직업세계 : 대학생과 청년층을 위한 진로, 취업지침서","서일수 , 김도균 , 김지혜 , 이정배 ",20000
298,Essential Calculus,James Stewart ,36000
299,"IT CookBook, 디지털 통신 시스템 : Digital Communication Systems","정호영 , 임승각 ",25000
300,"IT CookBook, 운영체제론 : Operating Systems, 3rd Ed","하비 디텔 , 폴 디텔 , 데이빗 쇼픈스 ",32000
